448514,977
346115,1218
299013,784
929798,619
849927,888
35530,1561
1394697,618
45066,1017
140415,1068
15001613,326
2324495,617
10743949,823
350455,1293
667667,1389
257439,732
3254293,616
4515863,552
112665,1015
71706,1089
1919005,422
745503,648
787865,1251
5113889,615
286143,1391
247845,594
110630,1063
6043687,614
2369851,1354
434217,1167
278103,757
150535,1523
74613,1558
641654,952
1222702,356
2777135,527
498355,783
1087541,1076
643126,544
2197559,558
8833081,607
49210,1107
690235,471
567358,460
64515,1526
292929,1004
403522,448
3772483,864
3387461,393
1097679,843
1416545,887
274505,1274
35805,1349
242165,1120
201058,1093
2915341,969
964689,543
1937221,1234
2562131,697
383061,994
340054,674
73815,1106
194649,1269
303195,668
11730,1532
8618077,404
768094,640
428127,979
34510,1461
56810,1501
212667,767
170085,1386
3812369,964
8521063,851
146965,1551
17201263,368
1585265,443
518259,958
103785,1123
16422,1531
32890,1537
328042,918
256215,1190
510081,673
2295147,821
210273,1294
387205,1059
53382,605
1607815,542
34034,1583
182410,997
354445,766
41055,1529
6678671,3
1232777,1235
233618,479
54834,1099
6510,1353
294814,1378
2132123,693
318274,1048
1966237,573
171717,1115
1390753,1194
82082,804
130758,899
338086,568
114855,1306
2398377,350
940355,1042
870573,871
2506195,855
623645,1380
59570,1072
1988787,408
76245,1520
49335,1536
189658,1245
6951967,825
2250941,541
7710911,410
873103,1379
4290,1598
168245,1503
676039,1479
666159,1181
332630,849
1005771,455
923853,398
608465,1056
38454,1453
1176791,1198
4321493,1146
51414,777
3621079,357
432345,449
475354,580
350427,478
1263994,829
240465,724
438495,548
124062,1171
63714,485
274659,682
2344505,939
2965735,413
117645,1277
824619,1023
5454059,942
104006,1489
454894,1165
1630447,698
121737,1330
91390,1098
164082,634
123123,803
55335,1335
796917,564
881705,718
1110265,1180
760058,540
1558779,612
2185469,1193
2023678,374
1812239,1359
2488577,621
116994,914
267995,1303
119510,1088
2310,9
96866,1122
182091,1394
136059,1310
81282,1248
444686,664
397358,1197
278806,1367
1839383,657
239785,1323
1964315,1148
1732895,966
9828643,341
596037,1196
355718,1033
14630,1578
32538,1459
975821,1364
4179335,379
608855,1411
1190189,671
135470,1247
155155,1339
127281,1435
823745,1361
8415539,818
169694,1260
1242505,647
22330,1475
2993887,1228
150195,1296
115005,795
55614,1273
1313845,658
719169,892
164703,1275
540995,675
443555,1368
88179,1552
713031,579
247863,1010
133455,603
127946,1096
34086,1502
250971,1085
209235,1006
268345,792
176638,927
74074,1132
985435,703
4180319,536
151905,769
1034594,360
224315,1448
108262,1102
282982,667
913767,695
1151495,1231
1050985,1027
35178,807
711399,987
584045,477
711022,624
334191,764
1111443,883
226366,1036
2105719,625
1054527,1155
319865,1094
135546,655
3453307,557
1121285,975
3035517,373
205205,802
15834,1472
10626,1545
2873731,553
102718,1401
179265,1087
40755,1570
3529097,948
698763,700
713545,978
880555,1236
179949,773
404547,729
369334,875
6754709,608
627095,706
881049,644
42735,1140
5513629,853
2400671,865
20202,1138
8610,10
60214,1525
1315237,1183
266662,1257
1855217,970
72105,1506
352682,720
1151403,423
76038,1373
852397,1410
20910,801
987567,362
11905457,495
25194,1556
3023603,1020
3774901,1172
18870,1129
659895,400
54230,1458
91698,1207
